timestamp_ms,sample_id,mq3_adc,mq5_adc,mq135_adc,mq3_volts,mq5_volts,mq135_volts,fruit,label
2009,1,383.20,37.00,32.00,1.873,0.181,0.156,banana,fresh
3019,2,383.70,37.00,32.00,1.875,0.181,0.156,banana,fresh
4031,3,384.00,37.00,31.95,1.877,0.181,0.156,banana,fresh
5042,4,384.00,36.95,32.00,1.877,0.181,0.156,banana,fresh
6052,5,384.10,37.00,32.00,1.877,0.181,0.156,banana,fresh
7063,6,384.80,37.00,31.95,1.881,0.181,0.156,banana,fresh
8074,7,385.00,37.00,31.90,1.882,0.181,0.156,banana,fresh
9084,8,385.00,37.00,31.95,1.882,0.181,0.156,banana,fresh
10095,9,385.25,37.00,31.95,1.883,0.181,0.156,banana,fresh
11106,10,385.80,37.00,32.00,1.886,0.181,0.156,banana,fresh
12116,11,386.00,37.00,32.00,1.887,0.181,0.156,banana,fresh
13127,12,386.00,37.00,31.90,1.887,0.181,0.156,banana,fresh
14138,13,386.15,37.00,31.90,1.887,0.181,0.156,banana,fresh
15150,14,386.70,37.00,32.00,1.890,0.181,0.156,banana,fresh
16160,15,387.00,37.00,31.95,1.891,0.181,0.156,banana,fresh
17171,16,387.00,37.00,32.00,1.891,0.181,0.156,banana,fresh
18182,17,387.00,37.00,32.00,1.891,0.181,0.156,banana,fresh
19192,18,387.30,37.00,32.00,1.893,0.181,0.156,banana,fresh
20203,19,387.95,36.95,32.00,1.896,0.181,0.156,banana,fresh
21214,20,388.00,37.00,32.00,1.896,0.181,0.156,banana,fresh
22224,21,388.00,37.00,31.90,1.896,0.181,0.156,banana,fresh
23236,22,388.00,37.00,31.95,1.896,0.181,0.156,banana,fresh
24247,23,388.30,37.00,31.90,1.898,0.181,0.156,banana,fresh
25257,24,388.80,37.00,32.00,1.900,0.181,0.156,banana,fresh
26268,25,388.95,37.00,32.00,1.901,0.181,0.156,banana,fresh
27279,26,389.00,37.00,32.00,1.901,0.181,0.156,banana,fresh
28290,27,389.00,37.00,32.00,1.901,0.181,0.156,banana,fresh
29300,28,389.00,37.00,31.95,1.901,0.181,0.156,banana,fresh
30311,29,389.30,37.05,32.00,1.903,0.181,0.156,banana,fresh
31323,30,389.60,37.00,31.95,1.904,0.181,0.156,banana,fresh
32333,31,389.95,37.00,32.00,1.906,0.181,0.156,banana,fresh
33344,32,390.00,37.00,31.90,1.906,0.181,0.156,banana,fresh
34355,33,390.00,37.00,32.00,1.906,0.181,0.156,banana,fresh
35365,34,390.00,37.00,32.00,1.906,0.181,0.156,banana,fresh
36376,35,390.05,37.00,32.00,1.906,0.181,0.156,banana,fresh
37387,36,390.30,37.00,32.00,1.908,0.181,0.156,banana,fresh
38397,37,390.70,37.00,32.00,1.910,0.181,0.156,banana,fresh
39409,38,390.95,37.00,31.95,1.911,0.181,0.156,banana,fresh
40420,39,391.00,37.00,31.95,1.911,0.181,0.156,banana,fresh
41431,40,391.00,37.00,32.00,1.911,0.181,0.156,banana,fresh
42441,41,391.00,37.00,32.00,1.911,0.181,0.156,banana,fresh
43452,42,391.00,37.05,32.00,1.911,0.181,0.156,banana,fresh
44463,43,391.05,37.00,31.95,1.911,0.181,0.156,banana,fresh
45473,44,391.15,37.00,32.00,1.912,0.181,0.156,banana,fresh
46485,45,391.60,37.00,32.00,1.914,0.181,0.156,banana,fresh
47496,46,391.80,37.00,32.00,1.915,0.181,0.156,banana,fresh
48506,47,392.00,37.00,32.00,1.916,0.181,0.156,banana,fresh
49517,48,392.00,37.00,31.85,1.916,0.181,0.156,banana,fresh
50528,49,392.00,37.05,31.95,1.916,0.181,0.156,banana,fresh
51538,50,392.05,37.00,31.95,1.916,0.181,0.156,banana,fresh
52549,51,392.00,37.00,31.95,1.916,0.181,0.156,banana,fresh
53560,52,392.00,37.05,32.00,1.916,0.181,0.156,banana,fresh
54572,53,392.15,37.05,32.00,1.917,0.181,0.156,banana,fresh
55582,54,392.40,37.05,32.00,1.918,0.181,0.156,banana,fresh
56593,55,392.65,37.05,32.00,1.919,0.181,0.156,banana,fresh
57604,56,392.90,37.00,31.95,1.920,0.181,0.156,banana,fresh
58614,57,393.00,37.00,32.00,1.921,0.181,0.156,banana,fresh
59625,58,393.00,37.05,32.00,1.921,0.181,0.156,banana,fresh
60636,59,393.00,37.00,32.00,1.921,0.181,0.156,banana,fresh
61647,60,393.00,37.00,32.00,1.921,0.181,0.156,banana,fresh
62658,61,393.05,37.05,31.95,1.921,0.181,0.156,banana,fresh
63669,62,393.05,37.10,32.00,1.921,0.181,0.156,banana,fresh
64679,63,393.05,37.05,32.00,1.921,0.181,0.156,banana,fresh
65690,64,393.25,37.10,31.95,1.922,0.181,0.156,banana,fresh
66701,65,393.50,37.05,32.00,1.923,0.181,0.156,banana,fresh
67712,66,393.65,37.15,32.00,1.924,0.182,0.156,banana,fresh
68723,67,393.90,37.15,32.00,1.925,0.182,0.156,banana,fresh
69734,68,394.00,37.00,31.95,1.926,0.181,0.156,banana,fresh
70745,69,394.00,37.05,31.95,1.926,0.181,0.156,banana,fresh
71755,70,394.00,37.00,32.00,1.926,0.181,0.156,banana,fresh
72766,71,394.00,37.10,32.00,1.926,0.181,0.156,banana,fresh
73777,72,394.00,37.05,32.00,1.926,0.181,0.156,banana,fresh
74787,73,394.00,37.15,32.00,1.926,0.182,0.156,banana,fresh
75799,74,394.10,37.20,31.95,1.926,0.182,0.156,banana,fresh
76810,75,394.20,37.30,32.00,1.927,0.182,0.156,banana,fresh
77820,76,394.20,37.05,31.95,1.927,0.181,0.156,banana,fresh
78831,77,394.30,37.20,32.00,1.927,0.182,0.156,banana,fresh
79842,78,394.60,37.00,32.00,1.929,0.181,0.156,banana,fresh
80852,79,394.80,37.05,32.00,1.930,0.181,0.156,banana,fresh
81863,80,394.90,37.10,32.00,1.930,0.181,0.156,banana,fresh
82875,81,395.00,37.05,32.00,1.931,0.181,0.156,banana,fresh
