timestamp_ms,sample_id,mq3_adc,mq5_adc,mq135_adc,mq3_volts,mq5_volts,mq135_volts,fruit,label
2009,1,82.20,787.90,62.45,0.402,3.851,0.305,banana,fresh
3020,2,82.20,787.90,62.60,0.402,3.851,0.306,banana,fresh
4031,3,82.05,787.80,62.70,0.401,3.850,0.306,banana,fresh
5042,4,82.15,787.80,62.30,0.402,3.850,0.304,banana,fresh
6052,5,82.15,787.80,62.50,0.402,3.850,0.305,banana,fresh
7063,6,82.05,787.90,62.35,0.401,3.851,0.305,banana,fresh
8074,7,82.15,787.85,62.35,0.402,3.851,0.305,banana,fresh
9084,8,82.10,788.00,62.30,0.401,3.851,0.304,banana,fresh
10095,9,82.25,787.90,62.30,0.402,3.851,0.304,banana,fresh
11106,10,82.20,788.00,62.40,0.402,3.851,0.305,banana,fresh
12116,11,82.20,787.90,62.30,0.402,3.851,0.304,banana,fresh
13127,12,82.25,788.00,62.25,0.402,3.851,0.304,banana,fresh
14138,13,82.15,787.95,62.35,0.402,3.851,0.305,banana,fresh
15150,14,82.15,788.00,62.35,0.402,3.851,0.305,banana,fresh
16160,15,82.10,788.00,62.40,0.401,3.851,0.305,banana,fresh
17171,16,82.10,788.00,62.30,0.401,3.851,0.304,banana,fresh
18182,17,82.25,788.00,62.35,0.402,3.851,0.305,banana,fresh
19192,18,82.10,788.05,62.35,0.401,3.852,0.305,banana,fresh
20203,19,82.00,788.00,62.45,0.401,3.851,0.305,banana,fresh
21214,20,82.15,788.00,62.40,0.402,3.851,0.305,banana,fresh
22225,21,82.15,787.95,62.50,0.402,3.851,0.305,banana,fresh
23236,22,82.05,788.00,62.55,0.401,3.851,0.306,banana,fresh
24247,23,82.25,788.00,62.50,0.402,3.851,0.305,banana,fresh
25257,24,82.15,788.00,62.35,0.402,3.851,0.305,banana,fresh
26268,25,82.20,788.00,62.45,0.402,3.851,0.305,banana,fresh
27279,26,82.25,788.00,62.45,0.402,3.851,0.305,banana,fresh
28290,27,82.20,788.00,62.40,0.402,3.851,0.305,banana,fresh
29301,28,82.15,788.00,62.40,0.402,3.851,0.305,banana,fresh
30312,29,82.20,788.00,62.30,0.402,3.851,0.304,banana,fresh
31323,30,82.15,788.10,62.35,0.402,3.852,0.305,banana,fresh
32333,31,82.15,788.05,62.50,0.402,3.852,0.305,banana,fresh
33344,32,82.20,788.00,62.25,0.402,3.851,0.304,banana,fresh
34355,33,82.25,788.05,62.40,0.402,3.852,0.305,banana,fresh
35365,34,82.10,788.05,62.35,0.401,3.852,0.305,banana,fresh
36377,35,82.10,788.00,62.30,0.401,3.851,0.304,banana,fresh
37388,36,82.20,788.05,62.40,0.402,3.852,0.305,banana,fresh
38398,37,82.20,788.00,62.50,0.402,3.851,0.305,banana,fresh
39409,38,82.20,788.10,62.25,0.402,3.852,0.304,banana,fresh
40420,39,82.15,788.00,62.50,0.402,3.851,0.305,banana,fresh
41431,40,82.20,788.05,62.40,0.402,3.852,0.305,banana,fresh
42441,41,82.05,788.00,62.40,0.401,3.851,0.305,banana,fresh
43453,42,82.20,788.00,62.35,0.402,3.851,0.305,banana,fresh
44464,43,82.15,788.05,62.30,0.402,3.852,0.304,banana,fresh
45474,44,82.10,788.05,62.45,0.401,3.852,0.305,banana,fresh
46485,45,82.15,788.10,62.25,0.402,3.852,0.304,banana,fresh
47496,46,82.15,788.10,62.40,0.402,3.852,0.305,banana,fresh
48506,47,82.20,788.20,62.40,0.402,3.852,0.305,banana,fresh
49517,48,82.25,788.05,62.45,0.402,3.852,0.305,banana,fresh
50529,49,82.15,788.10,62.50,0.402,3.852,0.305,banana,fresh
51539,50,82.20,788.25,62.35,0.402,3.853,0.305,banana,fresh
52550,51,82.20,788.15,62.40,0.402,3.852,0.305,banana,fresh
53561,52,82.20,788.25,62.25,0.402,3.853,0.304,banana,fresh
54572,53,82.35,788.25,62.25,0.402,3.853,0.304,banana,fresh
55582,54,82.15,788.05,62.55,0.402,3.852,0.306,banana,fresh
56593,55,82.10,788.20,62.45,0.401,3.852,0.305,banana,fresh
57605,56,82.10,788.25,62.30,0.401,3.853,0.304,banana,fresh
58615,57,82.25,788.45,62.25,0.402,3.854,0.304,banana,fresh
59626,58,82.30,788.55,62.40,0.402,3.854,0.305,banana,fresh
60637,59,82.15,788.25,62.45,0.402,3.853,0.305,banana,fresh
61647,60,82.20,788.45,62.40,0.402,3.854,0.305,banana,fresh
62658,61,82.25,788.55,62.35,0.402,3.854,0.305,banana,fresh
63669,62,82.15,788.55,62.25,0.402,3.854,0.304,banana,fresh
64680,63,82.35,788.45,62.40,0.402,3.854,0.305,banana,fresh
65691,64,82.15,788.35,62.30,0.402,3.853,0.304,banana,fresh
66702,65,82.20,788.55,62.50,0.402,3.854,0.305,banana,fresh
67713,66,82.20,788.50,62.25,0.402,3.854,0.304,banana,fresh
68723,67,82.10,788.35,62.35,0.401,3.853,0.305,banana,fresh
69734,68,82.30,788.70,62.50,0.402,3.855,0.305,banana,fresh
70745,69,82.30,788.40,62.35,0.402,3.853,0.305,banana,fresh
71756,70,82.20,788.70,62.50,0.402,3.855,0.305,banana,fresh
72767,71,82.30,788.55,62.35,0.402,3.854,0.305,banana,fresh
73778,72,82.30,788.55,62.35,0.402,3.854,0.305,banana,fresh
74788,73,82.30,788.75,62.30,0.402,3.855,0.304,banana,fresh
75799,74,82.30,788.65,62.20,0.402,3.855,0.304,banana,fresh
76810,75,82.40,788.75,62.40,0.403,3.855,0.305,banana,fresh
77820,76,82.40,788.75,62.25,0.403,3.855,0.304,banana,fresh
78832,77,82.40,788.85,62.20,0.403,3.856,0.304,banana,fresh
79843,78,82.20,788.70,62.45,0.402,3.855,0.305,banana,fresh
