timestamp_ms,sample_id,mq3_adc,mq5_adc,mq135_adc,mq3_volts,mq5_volts,mq135_volts,fruit,label
2009,1,807.10,93.00,81.95,3.945,0.455,0.401,banana,spoiled
3020,2,807.10,93.00,81.80,3.945,0.455,0.400,banana,spoiled
4031,3,807.05,93.00,81.85,3.945,0.455,0.400,banana,spoiled
5042,4,807.00,93.00,81.85,3.944,0.455,0.400,banana,spoiled
6052,5,807.10,93.00,81.80,3.945,0.455,0.400,banana,spoiled
7063,6,807.10,93.00,81.85,3.945,0.455,0.400,banana,spoiled
8074,7,807.00,93.00,81.95,3.944,0.455,0.401,banana,spoiled
9084,8,807.00,93.00,81.85,3.944,0.455,0.400,banana,spoiled
10095,9,807.05,92.95,82.00,3.945,0.454,0.401,banana,spoiled
11106,10,807.00,93.00,81.85,3.944,0.455,0.400,banana,spoiled
12116,11,807.00,93.00,81.75,3.944,0.455,0.400,banana,spoiled
13127,12,807.00,93.00,81.80,3.944,0.455,0.400,banana,spoiled
14138,13,807.00,93.00,81.90,3.944,0.455,0.400,banana,spoiled
15150,14,807.00,93.00,81.85,3.944,0.455,0.400,banana,spoiled
16160,15,807.00,93.00,81.85,3.944,0.455,0.400,banana,spoiled
17171,16,807.05,93.00,81.85,3.945,0.455,0.400,banana,spoiled
18182,17,807.15,93.00,81.90,3.945,0.455,0.400,banana,spoiled
19192,18,807.10,93.00,81.85,3.945,0.455,0.400,banana,spoiled
20203,19,807.10,93.00,81.90,3.945,0.455,0.400,banana,spoiled
21214,20,807.15,93.00,81.85,3.945,0.455,0.400,banana,spoiled
22225,21,807.20,93.00,81.85,3.945,0.455,0.400,banana,spoiled
23236,22,807.30,93.00,81.95,3.946,0.455,0.401,banana,spoiled
24247,23,807.40,93.00,81.95,3.946,0.455,0.401,banana,spoiled
25257,24,807.30,93.00,81.95,3.946,0.455,0.401,banana,spoiled
26268,25,807.15,93.00,81.95,3.945,0.455,0.401,banana,spoiled
27279,26,807.30,93.00,81.90,3.946,0.455,0.400,banana,spoiled
28290,27,807.35,93.00,81.80,3.946,0.455,0.400,banana,spoiled
29301,28,807.45,93.00,81.95,3.946,0.455,0.401,banana,spoiled
30312,29,807.25,93.00,81.95,3.946,0.455,0.401,banana,spoiled
31323,30,807.40,93.00,81.90,3.946,0.455,0.400,banana,spoiled
32333,31,807.35,92.95,81.85,3.946,0.454,0.400,banana,spoiled
33344,32,807.55,93.00,81.80,3.947,0.455,0.400,banana,spoiled
34355,33,807.45,93.00,81.95,3.946,0.455,0.401,banana,spoiled
35366,34,807.60,93.00,82.00,3.947,0.455,0.401,banana,spoiled
36377,35,807.50,93.00,81.95,3.947,0.455,0.401,banana,spoiled
37388,36,807.70,93.00,81.90,3.948,0.455,0.400,banana,spoiled
38398,37,807.60,93.05,81.80,3.947,0.455,0.400,banana,spoiled
39409,38,807.55,93.00,81.90,3.947,0.455,0.400,banana,spoiled
40420,39,807.20,93.00,81.90,3.945,0.455,0.400,banana,spoiled
41431,40,807.55,93.00,81.90,3.947,0.455,0.400,banana,spoiled
42442,41,807.55,93.00,81.90,3.947,0.455,0.400,banana,spoiled
43453,42,807.60,93.00,81.85,3.947,0.455,0.400,banana,spoiled
44464,43,807.85,93.00,81.90,3.948,0.455,0.400,banana,spoiled
45474,44,807.65,93.00,81.90,3.947,0.455,0.400,banana,spoiled
46485,45,807.65,93.00,82.00,3.947,0.455,0.401,banana,spoiled
47496,46,807.70,93.00,81.85,3.948,0.455,0.400,banana,spoiled
48506,47,807.70,93.00,81.80,3.948,0.455,0.400,banana,spoiled
49518,48,807.65,93.00,81.85,3.947,0.455,0.400,banana,spoiled
50529,49,807.90,93.00,81.80,3.949,0.455,0.400,banana,spoiled
51539,50,807.80,93.00,81.80,3.948,0.455,0.400,banana,spoiled
52550,51,807.80,92.95,81.85,3.948,0.454,0.400,banana,spoiled
53561,52,807.85,93.00,81.80,3.948,0.455,0.400,banana,spoiled
54572,53,807.75,93.00,81.80,3.948,0.455,0.400,banana,spoiled
55582,54,807.95,93.00,81.80,3.949,0.455,0.400,banana,spoiled
56594,55,807.80,93.00,81.75,3.948,0.455,0.400,banana,spoiled
57605,56,807.85,93.00,81.60,3.948,0.455,0.399,banana,spoiled
58615,57,807.75,93.00,81.85,3.948,0.455,0.400,banana,spoiled
59626,58,807.85,93.00,81.75,3.948,0.455,0.400,banana,spoiled
60637,59,807.95,93.00,81.70,3.949,0.455,0.399,banana,spoiled
61647,60,807.75,93.00,81.50,3.948,0.455,0.398,banana,spoiled
62658,61,807.90,93.00,81.80,3.949,0.455,0.400,banana,spoiled
63670,62,807.85,93.00,81.70,3.948,0.455,0.399,banana,spoiled
64680,63,807.90,93.00,81.75,3.949,0.455,0.400,banana,spoiled
65691,64,807.90,93.00,81.60,3.949,0.455,0.399,banana,spoiled
66702,65,808.00,93.00,81.55,3.949,0.455,0.399,banana,spoiled
67713,66,807.90,93.00,81.70,3.949,0.455,0.399,banana,spoiled
68723,67,807.90,93.00,81.75,3.949,0.455,0.400,banana,spoiled
69735,68,807.95,93.00,81.60,3.949,0.455,0.399,banana,spoiled
70746,69,807.90,93.00,81.60,3.949,0.455,0.399,banana,spoiled
71756,70,807.80,93.00,81.65,3.948,0.455,0.399,banana,spoiled
72767,71,808.00,93.00,81.65,3.949,0.455,0.399,banana,spoiled
73778,72,807.85,93.00,81.25,3.948,0.455,0.397,banana,spoiled
74788,73,807.80,93.00,81.55,3.948,0.455,0.399,banana,spoiled
75800,74,807.90,93.00,81.45,3.949,0.455,0.398,banana,spoiled
76811,75,808.00,93.00,81.40,3.949,0.455,0.398,banana,spoiled
77821,76,807.90,93.00,81.75,3.949,0.455,0.400,banana,spoiled
78832,77,807.95,93.00,81.20,3.949,0.455,0.397,banana,spoiled
79843,78,808.00,93.00,81.25,3.949,0.455,0.397,banana,spoiled
80854,79,807.80,93.00,81.40,3.948,0.455,0.398,banana,spoiled
81864,80,807.95,93.00,81.50,3.949,0.455,0.398,banana,spoiled
82876,81,807.85,92.95,81.25,3.948,0.454,0.397,banana,spoiled
83887,82,807.95,93.00,81.30,3.949,0.455,0.397,banana,spoiled
84897,83,807.95,93.00,81.40,3.949,0.455,0.398,banana,spoiled
85908,84,807.90,93.00,81.30,3.949,0.455,0.397,banana,spoiled
86919,85,808.00,93.00,81.45,3.949,0.455,0.398,banana,spoiled
87929,86,807.95,92.95,81.20,3.949,0.454,0.397,banana,spoiled
88941,87,807.85,93.00,81.20,3.948,0.455,0.397,banana,spoiled
89952,88,807.80,93.00,81.25,3.948,0.455,0.397,banana,spoiled
90962,89,807.95,93.00,81.30,3.949,0.455,0.397,banana,spoiled
91973,90,807.95,93.00,81.30,3.949,0.455,0.397,banana,spoiled
92984,91,807.90,92.95,81.10,3.949,0.454,0.396,banana,spoiled
93995,92,808.00,92.95,81.35,3.949,0.454,0.398,banana,spoiled
95006,93,807.95,93.00,81.25,3.949,0.455,0.397,banana,spoiled
96017,94,807.95,93.00,81.20,3.949,0.455,0.397,banana,spoiled
97028,95,808.00,93.00,81.25,3.949,0.455,0.397,banana,spoiled
98038,96,807.95,93.00,81.50,3.949,0.455,0.398,banana,spoiled
99049,97,807.95,93.00,81.20,3.949,0.455,0.397,banana,spoiled
100060,98,807.90,92.90,81.10,3.949,0.454,0.396,banana,spoiled
101071,99,808.00,92.95,81.20,3.949,0.454,0.397,banana,spoiled
102082,100,808.00,93.00,81.15,3.949,0.455,0.397,banana,spoiled
103093,101,808.00,93.00,81.10,3.949,0.455,0.396,banana,spoiled
104103,102,808.00,93.00,81.15,3.949,0.455,0.397,banana,spoiled
105115,103,808.00,92.95,81.30,3.949,0.454,0.397,banana,spoiled
106126,104,808.00,92.90,81.05,3.949,0.454,0.396,banana,spoiled
107137,105,808.00,92.95,81.10,3.949,0.454,0.396,banana,spoiled
108147,106,808.00,92.95,81.25,3.949,0.454,0.397,banana,spoiled
109159,107,808.00,93.00,81.30,3.949,0.455,0.397,banana,spoiled
110170,108,807.95,93.00,81.40,3.949,0.455,0.398,banana,spoiled
111180,109,807.95,92.95,81.10,3.949,0.454,0.396,banana,spoiled
112191,110,808.00,93.00,81.20,3.949,0.455,0.397,banana,spoiled
113203,111,808.00,92.95,81.25,3.949,0.454,0.397,banana,spoiled
114213,112,808.00,92.95,81.00,3.949,0.454,0.396,banana,spoiled
115224,113,808.00,92.95,81.10,3.949,0.454,0.396,banana,spoiled
116235,114,807.90,93.00,81.10,3.949,0.455,0.396,banana,spoiled
117246,115,807.85,92.95,81.25,3.948,0.454,0.397,banana,spoiled
118257,116,808.00,92.95,81.10,3.949,0.454,0.396,banana,spoiled
119268,117,807.95,93.00,81.25,3.949,0.455,0.397,banana,spoiled
120279,118,807.85,93.00,81.15,3.948,0.455,0.397,banana,spoiled
121290,119,808.00,93.00,81.25,3.949,0.455,0.397,banana,spoiled
122301,120,807.95,93.00,81.30,3.949,0.455,0.397,banana,spoiled
123312,121,807.95,93.00,81.20,3.949,0.455,0.397,banana,spoiled
124322,122,807.95,92.95,81.10,3.949,0.454,0.396,banana,spoiled
125334,123,808.00,92.95,81.10,3.949,0.454,0.396,banana,spoiled
126345,124,808.00,92.95,81.05,3.949,0.454,0.396,banana,spoiled
127355,125,808.00,93.00,81.25,3.949,0.455,0.397,banana,spoiled
128367,126,808.00,92.90,81.15,3.949,0.454,0.397,banana,spoiled
129378,127,808.00,93.00,81.20,3.949,0.455,0.397,banana,spoiled
130388,128,807.90,92.95,81.30,3.949,0.454,0.397,banana,spoiled
131399,129,808.00,93.00,81.15,3.949,0.455,0.397,banana,spoiled
132411,130,808.00,92.95,81.25,3.949,0.454,0.397,banana,spoiled
133422,131,808.00,93.00,81.05,3.949,0.455,0.396,banana,spoiled
134432,132,808.00,92.95,81.30,3.949,0.454,0.397,banana,spoiled
135443,133,808.00,93.00,81.20,3.949,0.455,0.397,banana,spoiled
136455,134,808.00,92.95,81.20,3.949,0.454,0.397,banana,spoiled
137465,135,808.00,92.90,81.10,3.949,0.454,0.396,banana,spoiled
138476,136,808.00,92.90,81.20,3.949,0.454,0.397,banana,spoiled
139487,137,808.00,93.00,81.20,3.949,0.455,0.397,banana,spoiled
140498,138,808.00,92.95,81.20,3.949,0.454,0.397,banana,spoiled
141509,139,808.00,93.00,81.10,3.949,0.455,0.396,banana,spoiled
142520,140,808.00,92.95,81.15,3.949,0.454,0.397,banana,spoiled
