timestamp_ms,sample_id,mq3_adc,mq5_adc,mq135_adc,mq3_volts,mq5_volts,mq135_volts,fruit,label
2009,1,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
3020,2,102.00,874.95,82.00,0.499,4.276,0.401,banana,starts_to_spoil
4031,3,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
5042,4,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
6052,5,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
7063,6,102.00,874.95,82.00,0.499,4.276,0.401,banana,starts_to_spoil
8074,7,102.00,874.95,82.00,0.499,4.276,0.401,banana,starts_to_spoil
9085,8,102.00,874.95,82.00,0.499,4.276,0.401,banana,starts_to_spoil
10096,9,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
11107,10,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
12118,11,102.00,874.95,82.00,0.499,4.276,0.401,banana,starts_to_spoil
13128,12,102.05,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
14140,13,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
15151,14,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
16161,15,102.00,875.00,82.15,0.499,4.277,0.402,banana,starts_to_spoil
17172,16,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
18184,17,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
19194,18,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
20205,19,102.00,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
21216,20,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
22227,21,102.00,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
23238,22,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
24249,23,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
25260,24,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
26271,25,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
27282,26,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
28293,27,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
29303,28,102.00,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
30315,29,102.05,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
31326,30,102.00,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
32336,31,102.00,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
33348,32,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
34359,33,102.00,875.00,82.10,0.499,4.277,0.401,banana,starts_to_spoil
35369,34,102.00,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
36380,35,102.00,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
37392,36,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
38403,37,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
39413,38,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
40424,39,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
41436,40,102.05,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
42446,41,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
43457,42,102.00,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
44468,43,102.10,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
45479,44,102.05,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
46490,45,102.05,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
47501,46,102.05,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
48512,47,102.15,875.00,82.10,0.499,4.277,0.401,banana,starts_to_spoil
49523,48,102.10,875.00,82.10,0.499,4.277,0.401,banana,starts_to_spoil
50534,49,102.05,875.00,82.05,0.499,4.277,0.401,banana,starts_to_spoil
51545,50,102.00,875.00,82.15,0.499,4.277,0.402,banana,starts_to_spoil
52555,51,102.05,875.00,82.10,0.499,4.277,0.401,banana,starts_to_spoil
53567,52,102.15,875.00,82.00,0.499,4.277,0.401,banana,starts_to_spoil
54578,53,102.00,875.00,82.10,0.499,4.277,0.401,banana,starts_to_spoil
