Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Class
1648644380099,50,77,63,8,55,36,59,54,509,blueberry_fresh
1648644380112,47,68,62,8,58,33,55,50,509,blueberry_fresh
1648644380121,46,72,64,9,58,38,56,51,505,blueberry_fresh
1648644380129,48,73,65,13,64,37,58,54,510,blueberry_fresh
1648644380139,45,70,63,8,61,34,58,56,507,blueberry_fresh
1648644380147,52,74,66,8,55,31,52,48,508,blueberry_fresh
1648644380155,49,72,65,7,54,36,61,56,512,blueberry_fresh
1648644380162,43,75,68,9,62,34,57,54,517,blueberry_fresh
1648644380170,47,75,67,14,55,33,60,54,514,blueberry_fresh
1648644380178,44,78,65,7,54,30,56,58,515,blueberry_fresh
1648644380188,45,76,66,11,61,35,57,57,515,blueberry_fresh
1648644380197,46,70,66,6,57,33,61,59,509,blueberry_fresh
1648644380205,43,71,64,11,55,32,60,49,512,blueberry_fresh
1648644380213,42,78,65,7,56,32,57,58,507,blueberry_fresh
1648644380221,44,71,67,7,55,36,57,54,514,blueberry_fresh
1648644380228,49,70,68,12,59,35,59,56,515,blueberry_fresh
1648644380236,44,72,67,7,54,34,59,62,520,blueberry_fresh
1648644380247,50,78,67,9,55,32,59,54,514,blueberry_fresh
1648644380255,47,73,64,7,57,39,58,56,514,blueberry_fresh
1648644380263,46,73,67,14,56,36,58,51,516,blueberry_fresh
1648644380271,48,71,65,8,57,32,58,55,515,blueberry_fresh
1648644380279,41,75,67,6,60,32,62,54,513,blueberry_fresh
1648644380286,48,71,65,6,59,38,60,61,515,blueberry_fresh
1648644380294,51,73,65,13,49,34,62,54,515,blueberry_fresh
1648644380302,45,72,68,14,55,29,59,56,514,blueberry_fresh
1648644380310,47,76,67,10,56,36,62,55,516,blueberry_fresh
1648644380318,44,72,64,11,56,36,57,52,516,blueberry_fresh
1648644380325,44,73,66,12,58,35,63,54,510,blueberry_fresh
1648644380333,45,72,66,8,56,28,61,56,517,blueberry_fresh
1648644380341,49,74,72,9,56,35,63,50,509,blueberry_fresh
1648644380349,52,69,62,14,56,33,71,54,525,blueberry_fresh
1648644380358,50,68,80,4,60,44,49,66,513,blueberry_fresh
1648644380370,52,75,64,13,54,35,60,56,516,blueberry_fresh
1648644380445,46,75,67,12,62,36,57,51,513,blueberry_fresh
1648644380453,43,72,65,14,57,33,55,53,513,blueberry_fresh
1648644380461,50,77,64,14,60,31,55,56,511,blueberry_fresh
1648644380469,42,75,63,10,61,37,62,60,509,blueberry_fresh
1648644380476,47,77,65,12,62,37,61,57,517,blueberry_fresh
1648644380484,44,79,66,13,57,34,63,57,515,blueberry_fresh
1648644380492,48,83,66,13,61,38,63,60,513,blueberry_fresh
1648644380502,46,74,65,9,56,36,58,53,516,blueberry_fresh
1648644380509,45,76,68,11,59,37,60,58,517,blueberry_fresh
1648644380517,46,73,63,9,54,35,57,53,510,blueberry_fresh
1648644380525,40,77,65,11,58,35,59,53,514,blueberry_fresh
1648644380533,41,73,66,11,58,38,56,56,519,blueberry_fresh
1648644380541,47,67,64,10,54,35,59,58,507,blueberry_fresh
1648644380549,45,76,66,11,55,39,61,54,516,blueberry_fresh
1648644380557,38,78,70,12,58,37,57,52,508,blueberry_fresh
1648644380567,52,78,63,6,56,36,61,57,523,blueberry_fresh
1648644380576,41,74,68,11,57,32,60,58,519,blueberry_fresh
1648644380583,46,74,64,9,57,35,62,52,514,blueberry_fresh
1648644380591,46,74,56,10,58,30,61,57,510,blueberry_fresh
1648644380599,44,77,66,8,55,35,58,52,512,blueberry_fresh
1648644380607,43,76,65,15,57,31,63,60,510,blueberry_fresh
1648644380615,46,78,63,14,59,36,59,57,518,blueberry_fresh
1648644380626,46,76,63,10,54,38,61,59,513,blueberry_fresh
1648644380634,48,81,60,10,55,35,61,54,510,blueberry_fresh
1648644380642,41,72,68,12,58,38,62,49,507,blueberry_fresh
1648644380650,49,71,67,12,56,30,57,53,514,blueberry_fresh
1648644380660,49,83,67,10,61,32,64,55,529,blueberry_fresh
1648644380668,58,73,65,14,56,50,53,66,502,blueberry_fresh
1648644380676,47,79,59,6,65,38,52,59,510,blueberry_fresh
1648644380684,49,71,76,8,54,43,62,56,519,blueberry_fresh
1648644380692,30,91,54,20,61,40,50,68,508,blueberry_fresh
1648644380705,49,74,62,11,53,33,60,52,513,blueberry_fresh
1648644380936,44,76,70,10,58,37,55,56,512,blueberry_fresh
1648644380944,47,73,62,9,59,31,60,59,514,blueberry_fresh
1648644380952,45,68,61,9,57,36,64,59,513,blueberry_fresh
1648644380961,51,75,67,11,57,28,60,55,517,blueberry_fresh
1648644380969,48,72,66,12,55,36,60,54,515,blueberry_fresh
1648644380976,42,79,65,10,58,35,62,58,514,blueberry_fresh
1648644380986,50,78,68,10,57,29,57,53,516,blueberry_fresh
1648644380994,51,80,66,13,56,36,57,55,517,blueberry_fresh
1648644381002,41,76,64,15,55,34,65,58,519,blueberry_fresh
1648644381010,49,77,64,10,57,29,59,55,513,blueberry_fresh
1648644381018,47,73,69,11,61,37,61,55,510,blueberry_fresh
1648644381025,45,71,66,12,60,37,64,55,514,blueberry_fresh
1648644381033,44,80,68,13,59,30,54,55,510,blueberry_fresh
