Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Class
1648644072091,37,81,58,15,48,44,42,65,529,grape_fresh
1648644072105,46,73,66,7,53,31,52,54,536,grape_fresh
1648644072114,44,73,67,6,59,32,50,56,537,grape_fresh
1648644072122,47,70,68,4,58,31,50,54,533,grape_fresh
1648644072130,45,71,69,5,58,34,52,55,536,grape_fresh
1648644072138,45,72,67,6,55,32,53,58,534,grape_fresh
1648644072146,48,75,67,5,59,31,54,54,538,grape_fresh
1648644072154,44,69,68,6,55,30,48,56,536,grape_fresh
1648644072163,45,68,66,5,55,31,49,51,537,grape_fresh
1648644072171,47,72,66,6,59,33,51,58,539,grape_fresh
1648644072179,41,70,71,6,59,30,54,52,535,grape_fresh
1648644072187,46,72,66,4,56,32,49,54,533,grape_fresh
1648644072194,46,72,68,5,59,33,54,55,535,grape_fresh
1648644072202,46,68,64,6,58,32,54,55,537,grape_fresh
1648644072210,40,69,65,5,58,30,51,53,535,grape_fresh
1648644072218,45,77,68,5,55,30,50,56,537,grape_fresh
1648644072227,46,72,67,6,57,32,52,56,538,grape_fresh
1648644072236,45,69,66,5,54,32,51,52,534,grape_fresh
1648644072244,42,70,67,6,58,33,51,55,535,grape_fresh
1648644072252,43,69,66,6,56,29,50,52,536,grape_fresh
1648644072259,44,68,65,5,55,35,52,56,538,grape_fresh
1648644072267,47,71,67,7,56,35,53,55,536,grape_fresh
1648644072275,41,72,68,5,60,33,54,56,536,grape_fresh
1648644072283,45,71,68,4,52,30,49,54,536,grape_fresh
1648644072290,43,70,65,6,57,33,51,53,536,grape_fresh
1648644072298,38,80,58,11,49,39,48,56,540,grape_fresh
1648644072306,52,60,78,0,57,28,60,45,553,grape_fresh
1648644072314,34,80,61,11,58,24,63,46,551,grape_fresh
1648644072322,55,63,73,8,57,38,51,49,539,grape_fresh
1648644072330,46,71,68,5,54,30,51,52,538,grape_fresh
1648644072337,43,69,67,2,56,30,52,53,534,grape_fresh
1648644072345,45,71,68,5,57,33,52,53,537,grape_fresh
1648644072354,46,70,66,3,55,32,54,56,537,grape_fresh
