timestamp_ms,sample_id,mq3_adc,mq5_adc,mq135_adc,mq3_volts,mq5_volts,mq135_volts,fruit,label
2009,1,183.00,45.00,40.60,0.894,0.220,0.198,no_fruit,no_fruit
3020,2,183.00,45.00,40.55,0.894,0.220,0.198,no_fruit,no_fruit
4031,3,183.05,45.00,40.65,0.895,0.220,0.199,no_fruit,no_fruit
5042,4,183.45,45.00,40.50,0.897,0.220,0.198,no_fruit,no_fruit
6052,5,183.70,45.00,40.45,0.898,0.220,0.198,no_fruit,no_fruit
7063,6,184.00,45.00,40.40,0.899,0.220,0.197,no_fruit,no_fruit
8074,7,184.00,45.00,40.15,0.899,0.220,0.196,no_fruit,no_fruit
9084,8,184.00,45.00,40.20,0.899,0.220,0.196,no_fruit,no_fruit
10095,9,184.10,45.00,40.25,0.900,0.220,0.197,no_fruit,no_fruit
11106,10,184.30,45.00,40.25,0.901,0.220,0.197,no_fruit,no_fruit
12116,11,184.85,45.00,40.40,0.903,0.220,0.197,no_fruit,no_fruit
13127,12,185.00,45.00,40.30,0.904,0.220,0.197,no_fruit,no_fruit
14139,13,185.00,45.00,40.45,0.904,0.220,0.198,no_fruit,no_fruit
15150,14,185.10,45.00,40.35,0.905,0.220,0.197,no_fruit,no_fruit
16160,15,185.00,45.00,40.10,0.904,0.220,0.196,no_fruit,no_fruit
17171,16,185.40,45.00,40.15,0.906,0.220,0.196,no_fruit,no_fruit
18182,17,185.95,45.00,40.25,0.909,0.220,0.197,no_fruit,no_fruit
19192,18,186.00,45.00,40.35,0.909,0.220,0.197,no_fruit,no_fruit
20204,19,186.00,45.00,40.25,0.909,0.220,0.197,no_fruit,no_fruit
21215,20,186.10,45.00,40.20,0.910,0.220,0.196,no_fruit,no_fruit
22225,21,186.40,45.00,40.15,0.911,0.220,0.196,no_fruit,no_fruit
23236,22,186.90,45.00,40.30,0.913,0.220,0.197,no_fruit,no_fruit
24247,23,187.00,45.00,40.50,0.914,0.220,0.198,no_fruit,no_fruit
25257,24,187.00,45.00,40.40,0.914,0.220,0.197,no_fruit,no_fruit
26268,25,187.40,45.00,40.40,0.916,0.220,0.197,no_fruit,no_fruit
27280,26,187.75,45.00,40.45,0.918,0.220,0.198,no_fruit,no_fruit
28291,27,188.00,45.00,40.40,0.919,0.220,0.197,no_fruit,no_fruit
29301,28,188.05,45.00,40.20,0.919,0.220,0.196,no_fruit,no_fruit
30312,29,188.10,45.00,40.25,0.919,0.220,0.197,no_fruit,no_fruit
31323,30,188.90,45.00,40.55,0.923,0.220,0.198,no_fruit,no_fruit
32333,31,189.00,45.00,40.30,0.924,0.220,0.197,no_fruit,no_fruit
33345,32,189.00,45.00,40.35,0.924,0.220,0.197,no_fruit,no_fruit
34356,33,189.30,45.00,40.40,0.925,0.220,0.197,no_fruit,no_fruit
