Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Class
1648642492120,66,68,70,9,60,37,50,67,484,pear_fresh
1648642492133,55,66,65,8,57,32,58,60,491,pear_fresh
1648642492141,48,66,68,11,62,34,59,57,490,pear_fresh
1648642492149,54,68,72,14,62,35,56,59,496,pear_fresh
1648642492157,45,69,67,13,61,32,53,55,492,pear_fresh
1648642492165,52,68,70,12,60,26,54,58,489,pear_fresh
1648642492173,47,70,63,14,60,28,52,58,493,pear_fresh
1648642492181,51,67,67,15,55,36,59,64,491,pear_fresh
1648642492191,39,75,71,16,72,22,48,67,482,pear_fresh
1648642492199,50,84,56,28,58,33,67,53,505,pear_fresh
1648642492206,49,66,72,2,70,30,56,58,493,pear_fresh
1648642492218,61,76,63,27,53,48,41,71,487,pear_fresh
1648642492226,51,61,78,15,62,36,55,61,487,pear_fresh
1648642492234,50,61,69,20,55,47,46,61,497,pear_fresh
1648642492242,60,53,75,8,69,23,60,58,509,pear_fresh
1648642492250,53,55,82,8,71,30,67,51,511,pear_fresh
1648642492258,63,82,58,17,68,37,53,55,506,pear_fresh
1648642492270,50,70,66,11,63,35,58,63,489,pear_fresh
1648642492278,51,68,71,16,61,33,52,60,492,pear_fresh
1648642492286,49,70,70,14,60,31,50,58,492,pear_fresh
1648642492294,49,67,68,15,65,35,53,57,491,pear_fresh
1648642492304,59,70,69,10,60,36,55,57,493,pear_fresh
1648642492312,56,68,65,12,64,33,57,60,489,pear_fresh
1648642492321,51,66,68,15,63,33,53,54,492,pear_fresh
1648642492328,45,68,69,16,64,36,57,56,487,pear_fresh
1648642492336,49,68,71,10,62,38,59,61,491,pear_fresh
1648642492344,55,75,67,13,59,29,52,50,493,pear_fresh
1648642492352,45,70,68,10,60,33,54,56,493,pear_fresh
1648642492360,47,65,67,12,61,35,55,61,493,pear_fresh
1648642492368,53,70,61,11,62,35,56,64,494,pear_fresh
1648642492375,48,69,69,11,58,33,53,53,492,pear_fresh
1648642492383,53,67,68,15,62,35,53,54,489,pear_fresh
1648642492391,44,70,74,15,66,35,56,55,492,pear_fresh
1648642492398,53,68,73,12,61,32,54,57,490,pear_fresh
1648642492406,51,68,70,13,61,33,55,57,490,pear_fresh
1648642492414,50,71,69,11,63,35,53,57,491,pear_fresh
1648642492423,54,57,67,16,68,38,58,56,489,pear_fresh
1648642492431,47,67,68,12,59,37,54,58,492,pear_fresh
1648642492439,50,69,69,12,59,32,54,58,487,pear_fresh
1648642492447,48,70,68,12,62,31,52,53,496,pear_fresh
1648642492455,46,67,64,10,58,31,54,56,492,pear_fresh
1648642492462,50,71,67,10,58,31,53,61,490,pear_fresh
1648642492472,44,67,69,11,58,31,54,58,490,pear_fresh
1648642492481,50,69,68,14,58,31,56,55,489,pear_fresh
1648642492489,43,63,68,15,57,26,56,52,493,pear_fresh
1648642492496,45,69,69,16,65,31,56,52,489,pear_fresh
1648642492504,45,71,71,14,61,31,57,61,489,pear_fresh
1648642492513,47,69,65,13,57,33,53,57,490,pear_fresh
1648642492521,47,69,69,13,61,32,55,56,485,pear_fresh
1648642492528,43,70,71,11,61,36,55,58,488,pear_fresh
1648642492536,49,68,69,11,63,28,56,58,488,pear_fresh
1648642492545,49,70,66,8,57,30,49,58,490,pear_fresh
1648642492553,49,72,64,13,61,33,46,56,487,pear_fresh
1648642492561,47,66,69,12,60,36,51,58,491,pear_fresh
1648642492568,48,64,67,12,62,32,56,64,489,pear_fresh
1648642492578,51,70,69,16,59,35,54,56,491,pear_fresh
1648642492586,49,69,67,12,58,32,53,53,484,pear_fresh
1648642492593,53,62,66,9,60,33,54,53,488,pear_fresh
1648642492601,48,69,67,14,60,36,57,59,489,pear_fresh
1648642492610,55,71,66,10,59,37,53,63,490,pear_fresh
1648642492618,53,71,69,11,60,33,53,57,490,pear_fresh
1648642492627,51,68,68,14,57,36,52,60,494,pear_fresh
1648642492635,47,68,70,13,61,32,53,53,494,pear_fresh
1648642492643,51,71,63,13,62,36,58,59,493,pear_fresh
1648642492652,37,65,68,11,61,32,52,58,492,pear_fresh
1648642492660,50,72,68,11,63,37,54,58,493,pear_fresh
1648642492668,47,69,65,12,61,32,56,58,487,pear_fresh
1648642492675,45,63,69,15,61,32,53,58,489,pear_fresh
1648642492686,46,65,71,13,61,35,59,64,489,pear_fresh
1648642492694,49,69,65,10,63,31,54,53,491,pear_fresh
