Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135,Class
1648644664159,45,103,65,28,55,45,72,67,551,strawberry_fresh
1648644664173,54,94,71,11,62,37,77,56,548,strawberry_fresh
1648644664182,45,88,66,16,64,37,74,58,547,strawberry_fresh
1648644664189,46,90,66,10,61,35,74,56,550,strawberry_fresh
1648644664199,50,88,67,12,60,36,73,56,550,strawberry_fresh
1648644664208,48,90,70,14,61,36,72,58,550,strawberry_fresh
1648644664215,49,91,69,18,61,39,76,59,553,strawberry_fresh
1648644664224,52,90,67,10,63,38,69,58,546,strawberry_fresh
1648644664234,49,88,69,13,60,44,79,48,564,strawberry_fresh
1648644664242,44,92,73,12,73,37,72,67,546,strawberry_fresh
1648644664251,59,77,76,11,73,24,82,51,565,strawberry_fresh
1648644664259,51,103,57,21,53,45,73,63,546,strawberry_fresh
1648644664267,41,95,75,6,59,40,68,65,553,strawberry_fresh
1648644664276,64,90,79,18,54,54,70,71,541,strawberry_fresh
1648644664284,62,80,74,19,56,52,65,69,547,strawberry_fresh
1648644664292,65,85,79,17,64,39,81,54,548,strawberry_fresh
1648644664303,59,76,81,5,77,40,69,63,548,strawberry_fresh
1648644664315,52,86,72,10,58,32,81,57,546,strawberry_fresh
1648644664324,48,88,65,18,61,34,73,58,550,strawberry_fresh
1648644664332,45,93,67,15,62,35,75,58,552,strawberry_fresh
1648644664339,50,90,66,10,61,39,72,57,549,strawberry_fresh
1648644664347,50,94,68,14,60,36,71,58,548,strawberry_fresh
1648644664356,41,88,65,15,59,39,78,61,553,strawberry_fresh
1648644664364,44,88,70,13,63,32,70,57,547,strawberry_fresh
1648644664372,47,90,65,15,60,32,77,56,547,strawberry_fresh
1648644664380,45,90,68,16,55,40,76,57,544,strawberry_fresh
1648644664388,48,89,70,14,61,35,73,60,547,strawberry_fresh
1648644664395,48,92,65,11,60,35,74,58,547,strawberry_fresh
1648644664407,54,90,73,14,62,37,76,72,545,strawberry_fresh
1648644664416,48,91,73,16,62,44,67,63,542,strawberry_fresh
1648644664424,60,80,80,15,56,46,71,67,547,strawberry_fresh
1648644664432,61,84,84,4,67,33,76,57,548,strawberry_fresh
1648644664443,53,91,66,13,63,38,78,55,546,strawberry_fresh
1648644664486,52,89,66,15,60,32,79,57,554,strawberry_fresh
1648644664494,42,91,68,11,64,34,76,56,548,strawberry_fresh
1648644664502,52,92,71,10,63,35,75,60,554,strawberry_fresh
1648644664512,55,93,66,12,64,36,76,55,548,strawberry_fresh
1648644664520,49,83,69,16,58,39,72,61,546,strawberry_fresh
1648644664527,48,88,69,13,64,34,74,56,549,strawberry_fresh
1648644664536,47,87,70,13,67,38,76,58,553,strawberry_fresh
1648644664546,50,105,62,29,50,47,77,54,552,strawberry_fresh
1648644664555,48,105,59,27,57,38,76,57,554,strawberry_fresh
1648644664563,50,93,77,6,74,24,86,45,562,strawberry_fresh
1648644664571,49,90,65,22,51,49,66,66,553,strawberry_fresh
1648644664579,60,76,77,10,54,45,75,52,558,strawberry_fresh
1648644664587,58,80,83,12,61,37,66,68,545,strawberry_fresh
1648644664595,53,101,70,8,77,22,89,50,556,strawberry_fresh
1648644664604,54,88,67,8,63,29,85,58,560,strawberry_fresh
1648644664616,54,92,69,22,61,38,78,59,554,strawberry_fresh
1648644664664,47,81,69,15,59,39,77,52,550,strawberry_fresh
1648644664672,43,88,67,16,60,43,76,61,549,strawberry_fresh
1648644664680,50,87,66,12,62,37,74,58,551,strawberry_fresh
1648644664688,52,92,71,13,62,37,75,55,545,strawberry_fresh
1648644664695,50,89,68,14,62,36,74,59,547,strawberry_fresh
1648644664703,48,94,69,17,62,38,74,54,552,strawberry_fresh
1648644664713,42,91,66,12,59,38,75,58,566,strawberry_fresh
1648644664721,45,95,63,26,49,47,74,68,548,strawberry_fresh
1648644664728,38,97,58,20,55,46,79,57,564,strawberry_fresh
1648644664736,57,77,79,10,56,46,66,67,553,strawberry_fresh
1648644664744,41,99,61,15,71,22,81,68,550,strawberry_fresh
1648644664752,39,102,59,16,60,41,66,72,546,strawberry_fresh
1648644664760,60,81,81,13,60,50,80,60,547,strawberry_fresh
1648644664768,59,92,70,19,60,48,70,62,553,strawberry_fresh
1648644664776,43,103,66,5,73,34,67,69,552,strawberry_fresh
1648644664785,53,97,69,12,63,36,69,54,554,strawberry_fresh
1648644664808,53,95,70,13,57,35,78,56,549,strawberry_fresh
1648644664816,52,85,65,14,62,41,79,51,554,strawberry_fresh
1648644664824,49,95,70,15,63,36,74,58,553,strawberry_fresh
1648644664832,48,89,67,15,57,37,79,60,555,strawberry_fresh
1648644664839,48,92,71,17,63,35,75,57,549,strawberry_fresh
1648644664847,47,93,69,15,63,39,78,54,549,strawberry_fresh
1648644664856,45,93,68,16,57,39,73,57,548,strawberry_fresh
1648644664864,46,89,67,12,58,35,76,60,551,strawberry_fresh
1648644664872,48,91,69,19,61,34,76,56,552,strawberry_fresh
1648644664879,46,88,71,18,64,38,76,63,552,strawberry_fresh
1648644664887,50,90,69,13,60,33,77,55,551,strawberry_fresh
1648644664895,51,92,71,13,66,38,77,58,552,strawberry_fresh
1648644664903,45,95,69,14,58,34,78,50,549,strawberry_fresh
1648644664910,46,90,65,12,58,31,76,63,557,strawberry_fresh
1648644664920,45,85,60,10,54,34,71,54,545,strawberry_fresh
1648644664957,58,95,67,11,58,37,77,55,549,strawberry_fresh
1648644664966,51,93,66,15,62,39,75,60,552,strawberry_fresh
1648644664973,51,88,70,18,61,41,75,57,551,strawberry_fresh
1648644664981,51,89,69,13,60,34,72,57,555,strawberry_fresh
1648644664989,48,88,72,11,59,34,79,60,548,strawberry_fresh
1648644664997,55,90,74,11,67,34,78,59,549,strawberry_fresh
1648644665006,50,95,69,14,60,35,80,57,550,strawberry_fresh
1648644665015,45,93,63,13,74,32,79,73,548,strawberry_fresh
1648644665023,57,96,60,18,66,24,86,51,566,strawberry_fresh
1648644665031,42,91,60,27,52,34,78,69,549,strawberry_fresh
1648644665039,45,98,65,20,52,51,70,71,546,strawberry_fresh
1648644665047,54,83,78,18,50,45,68,68,557,strawberry_fresh
1648644665055,37,99,61,27,53,46,74,72,551,strawberry_fresh
1648644665063,44,102,64,25,57,36,93,63,546,strawberry_fresh
1648644665070,59,80,78,5,71,34,81,59,563,strawberry_fresh
1648644665080,49,87,68,15,55,35,69,58,548,strawberry_fresh
1648644665099,54,89,72,10,60,33,75,54,548,strawberry_fresh
1648644665107,49,95,66,18,62,31,77,55,548,strawberry_fresh
1648644665116,55,93,68,13,62,34,75,63,548,strawberry_fresh
1648644665124,53,95,67,14,58,38,73,54,548,strawberry_fresh
1648644665131,50,81,70,13,62,36,73,55,551,strawberry_fresh
1648644665139,47,87,70,16,59,36,74,58,547,strawberry_fresh
1648644665148,57,91,68,14,57,34,78,58,553,strawberry_fresh
1648644665156,47,90,68,13,53,37,76,57,553,strawberry_fresh
1648644665163,51,91,65,13,61,40,80,61,550,strawberry_fresh
1648644665171,45,93,69,12,59,34,75,54,549,strawberry_fresh
1648644665179,48,91,69,15,60,33,77,64,550,strawberry_fresh
1648644665187,51,94,69,16,60,36,75,58,551,strawberry_fresh
1648644665196,49,85,69,15,57,38,73,55,549,strawberry_fresh
1648644665205,45,89,67,13,58,35,79,59,553,strawberry_fresh
1648644665212,45,90,69,14,65,39,74,54,547,strawberry_fresh
1648644665223,65,87,69,19,64,34,89,52,555,strawberry_fresh
1648644665231,43,106,61,28,55,29,88,51,560,strawberry_fresh
1648644665239,59,87,72,20,65,26,76,51,564,strawberry_fresh
1648644665247,39,100,59,29,48,50,66,70,551,strawberry_fresh
1648644665255,46,106,53,29,52,47,74,66,552,strawberry_fresh
